WGS84 UTM 17N
440158 4588179
-68.2190987559 90.3764544344 306.014
-29.3477185161 8.14449566882 305.802
-45.7884753557 -46.6714375317 306.193
-12.7451468633 63.4741677102 306.076
3.23893249413 -68.0767878508 303.018
93.4410336071 10.388737971 306.177
-100.538562526 -17.1812074073 305.574
93.6730843169 -49.715643961 304.872
31.9468991351 -22.7162298458 305.509
41.7540113559 37.9096138105 307.346
